Index,Accident_Severity,Accident Date,Latitude,Light_Conditions,District Area,Longitude,Number_of_Casualties,Number_of_Vehicles,Road_Surface_Conditions,Road_Type,Urban_or_Rural_Area,Weather_Conditions,Vehicle_Type
200701BS64157,Serious,2019-06-05,51.506187,Darkness - Lights Lit,Kensington And Chelsea,-0.209082,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS65737,Serious,2019-07-02,51.495029,Daylight,Kensington And Chelsea,-0.173647,1.0,2.0,Wet,Single Carriageway,Urban,Raining No High Winds,Car
200701BS66127,Serious,2019-08-26,51.517715,Darkness - Lighting Unknown,Kensington And Chelsea,-0.210215,1.0,3.0,Dry,Single Carriageway,Urban,Fine No High Winds,Taxi/Private Hire Car
200701BS66128,Serious,2019-08-16,51.495478,Daylight,Kensington And Chelsea,-0.202731,1.0,4.0,Dry,Single Carriageway,Urban,Fine No High Winds,Bus Or Coach (17 Or More Pass Seats)
200701BS66837,Slight,2019-09-03,51.488576,Darkness - Lights Lit,Kensington And Chelsea,-0.192487,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Other Vehicle
200701BS67159,Serious,2019-09-18,51.49775,Daylight,Kensington And Chelsea,-0.192556,2.0,3.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS67207,Serious,2019-09-05,51.501405,Daylight,Kensington And Chelsea,-0.161577,1.0,2.0,Dry,Dual Carriageway,Urban,Fine No High Winds,Light Goods Vehicle (Lgv)
200701BS67370,Fatal,2019-10-03,51.48226,Darkness - Lights Lit,Kensington And Chelsea,-0.179486,3.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS67515,Slight,2019-10-31,51.493319,Darkness - Lights Lit,Kensington And Chelsea,-0.173572,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS67543,Slight,2019-10-18,51.484539,Daylight,Kensington And Chelsea,-0.175651,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701BS67644,Serious,2019-10-09,51.491944,Darkness - Lights Lit,Kensington And Chelsea,-0.171898,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Heavy Goods Vehicle (Hgv)
200701BS67747,Fatal,2019-11-02,51.499127,Daylight,Kensington And Chelsea,-0.159652,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Bus Or Coach (17 Or More Pass Seats)
200701BS67773,Serious,2019-11-12,51.500823,Daylight,Kensington And Chelsea,-0.193587,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701BS67853,Slight,2019-11-08,51.508999,Darkness - Lights Lit,Kensington And Chelsea,-0.210701,3.0,2.0,Wet,Single Carriageway,Urban,Other,Car
200701BS67859,Slight,2019-11-01,51.485125,Darkness - Lights Lit,Kensington And Chelsea,-0.167129,1.0,1.0,Dry,One Way Street,Urban,Fine No High Winds,Car
200701BS67960,Slight,2019-11-19,51.488576,Daylight,Kensington And Chelsea,-0.192487,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS67969,Serious,2019-10-01,51.49349,Daylight,Kensington And Chelsea,-0.19042,1.0,2.0,Dry,Dual Carriageway,Urban,Fine No High Winds,Car
200701BS68160,Serious,2019-10-10,51.508445,Daylight,Kensington And Chelsea,-0.215622,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS68210,Slight,2019-11-20,51.49759,Daylight,Kensington And Chelsea,-0.159138,1.0,2.0,Wet,Single Carriageway,Urban,Raining No High Winds,Motorcycle
200701BS68237,Serious,2019-11-26,51.482988,Daylight,Kensington And Chelsea,-0.174272,1.0,4.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS68301,Fatal,2019-10-24,51.505996,Daylight,Kensington And Chelsea,-0.214277,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS68302,Fatal,2019-11-24,51.486795,Daylight,Kensington And Chelsea,-0.170375,5.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70001,Slight,2019-01-18,51.499983,Darkness - Lights Lit,Kensington And Chelsea,-0.179933,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70002,Serious,2019-01-22,51.485674,Daylight,Kensington And Chelsea,-0.150543,2.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70003,Serious,2019-01-17,51.498157,Daylight,Kensington And Chelsea,-0.201473,1.0,1.0,Wet,Dual Carriageway,Urban,Raining No High Winds,Car
200701BS70004,Slight,2019-01-03,51.493311,Darkness - Lights Lit,Kensington And Chelsea,-0.190427,2.0,1.0,Wet,Single Carriageway,Urban,Other,Car
200701BS70005,Slight,2019-01-02,51.49806,Daylight,Kensington And Chelsea,-0.166178,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Taxi/Private Hire Car
200701BS70006,Slight,2019-01-06,51.490526,Daylight,Kensington And Chelsea,-0.196443,2.0,2.0,Wet,Single Carriageway,Urban,Raining No High Winds,Taxi/Private Hire Car
200701BS70007,Slight,2019-01-17,51.513352,Darkness - Lights Lit,Kensington And Chelsea,-0.207216,1.0,2.0,Wet,Single Carriageway,Urban,Raining No High Winds,Motorcycle
200701BS70008,Slight,2019-01-12,51.514951,Darkness - Lights Lit,Kensington And Chelsea,-0.217674,2.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701BS70009,Slight,2019-01-09,51.514489,Daylight,Kensington And Chelsea,-0.199244,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70010,Slight,2019-01-13,51.480325,Darkness - Lights Lit,Kensington And Chelsea,-0.1823,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70011,Slight,2019-01-02,51.494902,Daylight,Kensington And Chelsea,-0.182872,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70012,Slight,2019-01-07,51.514399,Darkness - Lights Lit,Kensington And Chelsea,-0.199248,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701BS70013,Slight,2019-01-08,51.498244,Daylight,Kensington And Chelsea,-0.201325,1.0,1.0,Wet,Single Carriageway,Urban,Other,Car
200701BS70014,Slight,2019-01-03,51.524885,Daylight,Kensington And Chelsea,-0.214547,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Taxi/Private Hire Car
200701BS70015,Slight,2019-01-18,51.497451,Darkness - Lights Lit,Kensington And Chelsea,-0.167499,1.0,2.0,Wet,Single Carriageway,Urban,Fine & High Winds,Car
200701BS70016,Slight,2019-01-07,51.492577,Daylight,Kensington And Chelsea,-0.183685,2.0,3.0,Dry,Single Carriageway,Urban,Fine No High Winds,Other Vehicle
200701BS70017,Slight,2019-01-13,51.508535,Daylight,Kensington And Chelsea,-0.215619,1.0,2.0,Wet,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70019,Slight,2019-01-10,51.493766,Daylight,Kensington And Chelsea,-0.17341,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70020,Slight,2019-01-16,51.48943,Daylight,Kensington And Chelsea,-0.172142,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70021,Slight,2019-01-22,51.493753,Daylight,Kensington And Chelsea,-0.178308,1.0,2.0,Wet,Single Carriageway,Urban,Raining & High Winds,Car
200701BS70022,Slight,2019-01-15,51.481746,Daylight,Kensington And Chelsea,-0.17533,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70023,Slight,2019-01-14,51.49721,Daylight,Kensington And Chelsea,-0.157856,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
